event_type_internal,event_name,event_family,event_action,taxonomy_pair_unique,schema_version,default_display_name_hint,target_type_backend,requires_explicit_signalfox_id,uses_screen_resolution_delay,purchase_family,typical_emission_sources,typical_top_level_dto_fields,typical_properties_json_summary,notes
app_open,app_open,lifecycle,open,lifecycle::open,2,App opened,,no,yes,no,appStateIntegration (cold start),screen_name if resolved; otherwise base fields,payload extras if present,First app open; usually followed by session_start
app_background,app_background,lifecycle,background,lifecycle::background,2,App entered background,,no,yes,no,appStateIntegration (AppState background),screen_name if resolved,payload extras if present,
app_foreground,app_foreground,lifecycle,foreground,lifecycle::foreground,2,App entered foreground,,no,yes,no,appStateIntegration (back to active),screen_name if resolved,payload extras if present,May be followed by session_start
session_start,session_start,lifecycle,start,lifecycle::start,2,Session started,,no,yes,no,appStateIntegration,screen_name if resolved,payload extras if present,
session_end,session_end,lifecycle,end,lifecycle::end,2,Session ended,,no,yes,no,appStateIntegration,screen_name if resolved,payload extras if present,
screen_view,screen_view,screen,view,screen::view,2,screen name (screen_name),,no,no,no,reactNavigationIntegration; API trackScreen,screen_name; previous_screen_name; navigator_context; parent_modal,payload without duplicating columns,Only type that does not delay queued screen resolution (see constants.ts)
subview_view,subview_view,subview,view,subview::view,2,signalFoxNodeDisplayName or subview id,subview,no,yes,no,AnalyticsCore.trackSubview,screen_name; target_id/target_name; target_type=subview; flow_name and step_* null,payload extras (subview_name etc.),
flow_step_view,flow_step_view,flow,view,flow::view,2,signalFoxNodeDisplayName o step,flow_step,no,yes,no,AnalyticsCore.trackFunnelStep,screen_name; flow_name; step_name; step_index; target_*,properties_json con extras,
modal_open,modal_open,modal,open,modal::open,2,paywall_name o modalName o id,modal,yes,yes,no,reactNativeModalPatch; revenueCatIntegration (paywall),screen_name (contexto); target_id/target_name; target_type=modal,"modalName; source; kind; previousScreen; currentScreen; presentation; parent_modal",
modal_close,modal_close,modal,close,modal::close,2,paywall_name or modalName or id,modal,yes,yes,no,reactNativeModalPatch; revenueCatIntegration,Same family as modal_open; screen_name depends on open vs close,payload analogous to modal_open,
component_press,component_press,component,press,component::press,2,signalFoxNodeDisplayName or id,touchable|button|tab|unknown (depending on the event),yes,yes,no,reactNativeTouchablePatch,screen_name; target_id/target_name; target_type from the event,"source=react_native_touchable; rnComponent; parent_modal",
custom,custom,custom,track,custom::track,2,custom_event_name o «Custom event»,,no,yes,no,AnalyticsCore.trackCustom; trackEvent manual,screen_name opcional; properties_json con custom_event_name y payload anidado,payload de usuario sin duplicar parent_modal en JSON,
purchase_started,purchase_started,purchase,started,purchase::started,2,Purchase started or humanized,,no,yes,yes,revenueCatIntegration; reactNativeIapIntegration; purchaseAnalyticsBridge,screen_name if resolved; target_* if included in the event,"sourcePlatform; store; productId; productType; price; currency; trial; transactionIds; environment; errors",
purchase_cancelled,purchase_cancelled,purchase,cancelled,purchase::cancelled,2,Purchase cancelled,,no,yes,yes,revenueCatIntegration; reactNativeIapIntegration; purchaseAnalyticsBridge,"como purchase_started","errorCode; errorMessage frecuentes",
purchase_failed,purchase_failed,purchase,failed,purchase::failed,2,Purchase failed,,no,yes,yes,revenueCatIntegration; reactNativeIapIntegration; purchaseAnalyticsBridge,"como purchase_started","errorCode; errorMessage",
purchase_completed,purchase_completed,purchase,completed,purchase::completed,2,Purchase completed,,no,yes,yes,revenueCatIntegration; reactNativeIapIntegration; purchaseAnalyticsBridge,"como purchase_started",Datos de compra completada,
subscription_started,subscription_started,purchase,subscription,purchase::subscription,2,Subscription started,,no,yes,yes,purchaseAnalyticsBridge,"como purchase_started",,
trial_started,trial_started,purchase,trial,purchase::trial,2,Trial started,,no,yes,yes,purchaseAnalyticsBridge,"como purchase_started",hasTrial; trialDays,
restore_completed,restore_completed,purchase,restored,purchase::restored,2,Restore completed,,no,yes,yes,revenueCatIntegration; reactNativeIapIntegration; purchaseAnalyticsBridge,"como purchase_started",restoredProductIds si aplica,
"(fallback)","<same string as internal type>",custom,track,custom::track,2,humanize(type) or fallbackId,,no,yes,no,Any type not listed in canonicalTaxonomy.ts,As generic custom,mergePayloadAsExtras,"getCanonicalTriple returns event_family=custom and event_action=track; event_name=unknown type"
